,TITLE,URL
29, গৃহবধূকে বেঁধে স্বর্ণালংকার লুট করে পালানোর সময় তরুণ-তরুণী গ্রেপ্তার,https://www.prothomalo.com/bangladesh/district/sf4et31f9a
30,শুক্রবার দুপুরে ব্রাহ্মণবাড়িয়ার আখাউড়া পৌর এলাকার নারায়ণপুরে একটি বাড়িতে এ ঘটনা ঘটে।,https://www.prothomalo.com/bangladesh/district/sf4et31f9a
31, বিএনপি ক্ষমতায় গেলে সব শহীদ ও আহতদের পুরো দায়িত্ব রাষ্ট্র নেবে: রিজভী,https://www.prothomalo.com/bangladesh/district/qkrkdppspm
32, ট্রাম্পের নিষেধাজ্ঞায় হার্ভার্ডপড়ুয়া বেলজিয়ামের হবু রানি এলিজাবেথের কী হবে,https://www.prothomalo.com/world/europe/yjl4qqf0lj
33," জটিলতা সৃষ্টি করে মান-অভিমান, এটা গ্রহণযোগ্য না: আনু মুহাম্মদ",https://www.prothomalo.com/politics/btyc10o9d6
34," ডিসেম্বরে নির্বাচন প্রশ্নে বিএনপি অনড়, চাপে অন্তর্বর্তী সরকার",https://www.prothomalo.com/video/bangladesh/3mnnak3l23
35," আইপিএল: দাম উঠল আকাশে, পারফরম্যান্স নামল পাতালে",https://www.prothomalo.com/sports/cricket/ln8v7ardau
36,"দামি খেলোয়াড় মানেই যে রানবৃষ্টি আর উইকেটের নিশ্চয়তা নয়, সেটাই যেন আরও একবার চোখে আঙুল দিয়ে দেখিয়ে দিল এবারের আইপিএল।",https://www.prothomalo.com/sports/cricket/ln8v7ardau
37,"জাতীয় স্বার্থ, জাতীয় সার্বভৌমত্ব ইত্যাদি প্রশ্নে রাজনৈতিক দলগুলোর সঙ্গে আরও ঘনিষ্ঠভাবে কাজ করতে অন্তর্বর্তী সরকারের প্রতি আহ্বান জানান গণসংহতি আন্দোলনের নেতারা।",https://www.prothomalo.com/politics/xvttk5ahy9
38, আব্রাহাম লিংকনের রক্তমাখা দস্তানা নিলামে সাড়ে ১৮ কোটি টাকায় বিক্রি,https://www.prothomalo.com/world/usa/msk5xem9u7
39,১৮৬৫ সালের ১৪ এপ্রিল রাতে বন্দুকধারীর গুলিতে নিহত হন যুক্তরাষ্ট্রের ১৬তম প্রেসিডেন্ট আব্রাহাম লিংকন। দস্তানাসহ তাঁর ব্যবহার করা আরও ১৪৪টি জিনিস নিলামে তোলা হয়।,https://www.prothomalo.com/world/usa/msk5xem9u7
40, গুলির শব্দে থামল কুতিনিওর সাক্ষাৎকার,https://www.prothomalo.com/sports/football/vwk0tazy54
